osm_id,landuse,building,geometry
,industrial,,"POLYGON ((120.8900735 14.2001627, 120.8901105 14.1999572, 120.8888374 14.1995976, 120.8887918 14.1999691, 120.8900735 14.2001627))"
,,industrial,"POLYGON ((120.895417 14.2037627, 120.8954939 14.2031242, 120.8953658 14.2031097, 120.8952887 14.2037482, 120.895417 14.2037627))"
,,industrial,"POLYGON ((120.894932 14.2038882, 120.8939703 14.2037863, 120.893953 14.2039394, 120.8949147 14.2040415, 120.894932 14.2038882))"
,,industrial,"POLYGON ((120.894915 14.2042131, 120.8939533 14.2041111, 120.893936 14.2042643, 120.8948977 14.2043664, 120.894915 14.2042131))"
,,industrial,"POLYGON ((120.8948775 14.2045433, 120.8939158 14.2044413, 120.8938985 14.2045945, 120.8948602 14.2046966, 120.8948775 14.2045433))"
,,industrial,"POLYGON ((120.8948128 14.2049428, 120.8934951 14.2048132, 120.8934789 14.2049681, 120.8947966 14.2050975, 120.8948128 14.2049428))"
,,industrial,"POLYGON ((120.8949991 14.2055492, 120.8950264 14.2053511, 120.893388 14.2052223, 120.8933778 14.2054039, 120.8949991 14.2055492))"
,,industrial,"POLYGON ((120.8966968 14.2057033, 120.896674 14.2055853, 120.8953618 14.2058242, 120.8953846 14.2059419, 120.8966968 14.2057033))"
,,industrial,"POLYGON ((120.8967007 14.2059186, 120.8966779 14.2058007, 120.8953657 14.2060395, 120.8953885 14.2061572, 120.8967007 14.2059186))"
,,industrial,"POLYGON ((120.8951893 14.2081218, 120.8965448 14.2082317, 120.8965573 14.2080865, 120.8952018 14.2079763, 120.8951893 14.2081218))"
,industrial,,"POLYGON ((120.9265204 14.1592785, 120.9265982 14.1590171, 120.9257935 14.1588806, 120.9256017 14.1590873, 120.9265204 14.1592785))"
,industrial,,"POLYGON ((120.9201664 14.2413125, 120.9240429 14.2415754, 120.9244613 14.2411803, 120.924633 14.2406603, 120.9258239 14.2380917, 120.9229271 14.2380397, 120.9229056 14.2384869, 120.9208457 14.2385493, 120.9200616 14.2413051, 120.9201664 14.2413125))"
,,industrial,"POLYGON ((120.9201664 14.2413125, 120.9201204 14.2416888, 120.92057 14.2417317, 120.9205564 14.2418374, 120.9226342 14.2420817, 120.9226818 14.2415935, 120.9201664 14.2413125))"
,,industrial,"POLYGON ((120.921535 14.2470544, 120.9215427 14.2464515, 120.9201721 14.2464349, 120.9201643 14.2470379, 120.921535 14.2470544))"
18645392,industrial,,"POLYGON ((120.9215859 14.247073, 120.92158 14.246413, 120.920135 14.2464252, 120.9201409 14.247087, 120.9215859 14.247073))"
,,industrial,"POLYGON ((120.9204836 14.255921, 120.9195503 14.2559101, 120.9195437 14.2564331, 120.9204771 14.256444, 120.9204836 14.255921))"
,industrial,,"POLYGON ((120.9251897 14.257659, 120.9253144 14.2566977, 120.9241008 14.2566518, 120.9241068 14.2576515, 120.9251897 14.257659))"
,,industrial,"POLYGON ((120.9247964 14.2572663, 120.9247946 14.2575594, 120.9250496 14.2575609, 120.9250538 14.2568836, 120.924393 14.2568798, 120.9243906 14.257264, 120.9247964 14.2572663))"
,,industrial,"POLYGON ((120.9204486 14.2577953, 120.9204526 14.2568517, 120.9201441 14.2568504, 120.92014 14.257794, 120.9204486 14.2577953))"
,industrial,,"POLYGON ((120.9204916 14.2579421, 120.9204998 14.2567411, 120.9200666 14.2567411, 120.9196033 14.2567411, 120.919524 14.2568159, 120.9195372 14.2579154, 120.9204916 14.2579421))"
,,industrial,"POLYGON ((120.8952027 14.2084303, 120.8965582 14.2085402, 120.8965708 14.208395, 120.8952153 14.2082848, 120.8952027 14.2084303))"
,,industrial,"POLYGON ((120.8949702 14.209399, 120.8961911 14.2094754, 120.8962006 14.2093318, 120.8949798 14.2092551, 120.8949702 14.209399))"
,,industrial,"POLYGON ((120.9061147 14.21229, 120.9073649 14.2126584, 120.9074071 14.2125238, 120.9061568 14.2121556, 120.9061147 14.21229))"
,,industrial,"POLYGON ((120.9060228 14.2125652, 120.907273 14.2129336, 120.9073152 14.212799, 120.9060649 14.2124308, 120.9060228 14.2125652))"
,,industrial,"POLYGON ((120.9056795 14.213244, 120.9069297 14.2136124, 120.9069719 14.2134778, 120.9057216 14.2131096, 120.9056795 14.213244))"
,,industrial,"POLYGON ((120.9055713 14.213527, 120.9068215 14.2138954, 120.9068637 14.2137608, 120.9056134 14.2133926, 120.9055713 14.213527))"
,,industrial,"POLYGON ((120.9045662 14.2178539, 120.9036887 14.2178125, 120.9036841 14.2179042, 120.9045616 14.2179454, 120.9045662 14.2178539))"
,,industrial,"POLYGON ((120.9045589 14.2180703, 120.9036814 14.2180289, 120.9036768 14.2181206, 120.9045543 14.2181618, 120.9045589 14.2180703))"
,,industrial,"POLYGON ((120.8983787 14.2185949, 120.8984869 14.2187147, 120.8990985 14.218196, 120.8989903 14.2180761, 120.8983787 14.2185949))"
,,industrial,"POLYGON ((120.9043044 14.2183905, 120.903427 14.2183491, 120.9034224 14.2184409, 120.9042998 14.2184821, 120.9043044 14.2183905))"
,,industrial,"POLYGON ((120.9040512 14.2186443, 120.9031738 14.2186029, 120.9031692 14.2186946, 120.9040466 14.2187358, 120.9040512 14.2186443))"
,,industrial,"POLYGON ((120.9096937 14.2199902, 120.9084111 14.2195252, 120.9083532 14.2196751, 120.9096357 14.2201403, 120.9096937 14.2199902))"
,,industrial,"POLYGON ((120.9096105 14.2201992, 120.9083279 14.2197343, 120.9082701 14.2198842, 120.9095525 14.2203494, 120.9096105 14.2201992))"
,,industrial,"POLYGON ((120.9095476 14.2203805, 120.908265 14.2199156, 120.9082071 14.2200655, 120.9094896 14.2205307, 120.9095476 14.2203805))"
,,industrial,"POLYGON ((120.9110925 14.2203934, 120.9098099 14.2199284, 120.909752 14.2200783, 120.9110345 14.2205435, 120.9110925 14.2203934))"
,,industrial,"POLYGON ((120.9110093 14.2205905, 120.9097267 14.2201255, 120.9096689 14.2202755, 120.9109513 14.2207406, 120.9110093 14.2205905))"
,,industrial,"POLYGON ((120.9109323 14.2207756, 120.9096497 14.2203107, 120.9095918 14.2204606, 120.9108743 14.2209258, 120.9109323 14.2207756))"
,,industrial,"POLYGON ((120.9112384 14.2214826, 120.9123764 14.2218993, 120.9124401 14.2217359, 120.9113022 14.2213189, 120.9112384 14.2214826))"
,,industrial,"POLYGON ((120.911153 14.2216796, 120.912291 14.2220964, 120.9123547 14.2219329, 120.9112168 14.2215159, 120.911153 14.2216796))"
,,industrial,"POLYGON ((120.9110642 14.2219041, 120.9122021 14.2223208, 120.9122659 14.2221574, 120.911128 14.2217404, 120.9110642 14.2219041))"
,,industrial,"POLYGON ((120.8927443 14.2301853, 120.890487 14.2302061, 120.890487 14.230751, 120.8927658 14.2307469, 120.8927443 14.2301853))"
,,industrial,"POLYGON ((120.8910563 14.2319947, 120.8904842 14.2320056, 120.8904951 14.2325389, 120.8910672 14.232528, 120.8910563 14.2319947))"
,,industrial,"POLYGON ((120.8883323 14.2471058, 120.8873107 14.2471004, 120.8873078 14.2476039, 120.8883295 14.2476095, 120.8883323 14.2471058))"
,,industrial,"POLYGON ((120.888502 14.2477868, 120.8874753 14.2477703, 120.8874649 14.2483794, 120.8884916 14.2483957, 120.888502 14.2477868))"
,,industrial,"POLYGON ((120.9162182 14.2587311, 120.9162635 14.2586192, 120.916112 14.2585617, 120.9160668 14.2586736, 120.9162182 14.2587311))"
,,industrial,"POLYGON ((120.9160102 14.2595043, 120.9161712 14.2590637, 120.9161202 14.259065, 120.9159619 14.2590611, 120.9158211 14.2594991, 120.9160102 14.2595043))"
,,industrial,"POLYGON ((120.9154952 14.260636, 120.9154964 14.260547, 120.9154113 14.2605459, 120.9154121 14.2604853, 120.9153226 14.2604841, 120.9153204 14.2606337, 120.9154952 14.260636))"
14014147,industrial,,"POLYGON ((120.9153758 14.2608178, 120.9152806 14.2608321, 120.9151444 14.2610111, 120.9146408 14.2623124, 120.914576 14.262581, 120.9145637 14.2627389, 120.9145703 14.2633777, 120.9145886 14.2638138, 120.9146006 14.2646209, 120.914576 14.2654307, 120.9146368 14.2654983, 120.9147146 14.2655399, 120.9148125 14.2655503, 120.9149064 14.2655386, 120.9149305 14.2655789, 120.9152633 14.2654095, 120.9152515 14.2653878, 120.9153147 14.2653556, 120.9154016 14.2653113, 120.9154133 14.265333, 120.9155917 14.2652422, 120.9157037 14.2651473, 120.9158573 14.2648835, 120.9159074 14.2647036, 120.916097 14.2639129, 120.9160748 14.2639079, 120.9161019 14.2637958, 120.9161342 14.2636621, 120.916156 14.263667, 120.9163735 14.2627324, 120.9165305 14.2619213, 120.9165743 14.2615964, 120.9165882 14.2609205, 120.9165385 14.2608516, 120.9164607 14.2608087, 120.9156073 14.2608141, 120.9153758 14.2608178))"
,,industrial,"POLYGON ((120.9153488 14.2669156, 120.9153518 14.266778, 120.9150756 14.2667724, 120.9150726 14.26691, 120.9153488 14.2669156))"
,,industrial,"POLYGON ((120.9148257 14.2669344, 120.9148257 14.266771, 120.9147059 14.266771, 120.9147059 14.2669344, 120.9148257 14.2669344))"
,industrial,,"POLYGON ((120.9204916 14.2579421, 120.9213853 14.257944, 120.9213779 14.2567844, 120.9204998 14.2567411, 120.9204916 14.2579421))"
,,industrial,"POLYGON ((120.920041 14.2572894, 120.9199234 14.2572885, 120.9199264 14.2569301, 120.9196482 14.2569279, 120.9196411 14.2577939, 120.9200368 14.2577969, 120.920041 14.2572894))"
,,industrial,"POLYGON ((120.9212808 14.2570096, 120.9205888 14.2570044, 120.9205941 14.2578363, 120.9212647 14.2578311, 120.9212808 14.2570096))"
,industrial,,"POLYGON ((120.9238987 14.2594021, 120.9239294 14.258924, 120.9239535 14.2578153, 120.923928 14.2568834, 120.9238635 14.2567874, 120.922724 14.256774, 120.9226885 14.2596108, 120.9238329 14.2596242, 120.9238987 14.2594021))"
,,industrial,"POLYGON ((120.9234759 14.2592743, 120.9234844 14.2585725, 120.9235884 14.2585738, 120.9235972 14.2578538, 120.9234839 14.2578525, 120.9234924 14.2571501, 120.9228119 14.2571419, 120.9227861 14.2592659, 120.9234759 14.2592743))"
,industrial,,"POLYGON ((120.9195372 14.2593764, 120.9195667 14.2596415, 120.9197666 14.2603902, 120.9198296 14.2605436, 120.9198564 14.2605644, 120.9198859 14.2605677, 120.9206646 14.2604825, 120.9211157 14.2604331, 120.9211962 14.2603811, 120.9213611 14.259327, 120.9213789 14.2583104, 120.9213853 14.257944, 120.9204916 14.2579421, 120.9195372 14.2579154, 120.9195372 14.2593764))"
,,industrial,"POLYGON ((120.9210106 14.2595862, 120.9210271 14.2595863, 120.9210275 14.2595356, 120.9209498 14.259535, 120.9209494 14.2595857, 120.9198149 14.2595764, 120.9198084 14.2603133, 120.9210042 14.2603232, 120.9210106 14.2595862))"
,,industrial,"POLYGON ((120.9222434 14.260294, 120.9232934 14.2603101, 120.9233032 14.2598849, 120.9236368 14.2598921, 120.9236407 14.2597229, 120.9222719 14.2597155, 120.9222635 14.2598831, 120.9220739 14.2598788, 120.9220713 14.2602888, 120.9222434 14.260294))"
,,industrial,"POLYGON ((120.9174553 14.2605636, 120.9174599 14.259857, 120.9172481 14.2598557, 120.9172495 14.2596459, 120.9161243 14.2596391, 120.9161184 14.2605555, 120.9174553 14.2605636))"
,,industrial,"POLYGON ((120.92202 14.2610295, 120.9220198 14.2606897, 120.921114 14.2607076, 120.9211171 14.2610281, 120.92202 14.2610295))"
,industrial,,"POLYGON ((121.0017603 14.2211984, 121.0010093 14.221058, 121.0009933 14.2216352, 121.001016 14.2217093, 121.0010657 14.2217574, 121.001409 14.2218302, 121.0016705 14.2219589, 121.0017603 14.2211984))"
,,industrial,"POLYGON ((121.0018909 14.250757, 121.0019025 14.2504363, 121.0009534 14.2503527, 121.0002342 14.2503589, 121.0002275 14.2507502, 121.0018909 14.250757))"
,,industrial,"POLYGON ((121.0001295 14.2507509, 121.0001288 14.2503583, 120.9981057 14.250403, 120.9980527 14.2508008, 121.0001295 14.2507509))"
,industrial,,"POLYGON ((121.0024689 14.2509837, 121.0023416 14.2504859, 121.0009492 14.2503089, 120.9980924 14.2503752, 120.9979731 14.2514189, 120.9986482 14.2513856, 120.9992149 14.2513877, 121.0002235 14.2511772, 121.0002156 14.2514177, 121.0024689 14.2509837))"
,,industrial,"POLYGON ((121.0002675 14.2513958, 121.0019079 14.2510875, 121.0019103 14.2508798, 121.0002277 14.2508809, 121.0002425 14.2513423, 121.0002675 14.2513958))"
,industrial,,"POLYGON ((120.9738299 14.2365828, 120.9738634 14.2360751, 120.9738713 14.2358914, 120.9731457 14.2357796, 120.9730536 14.2362897, 120.9731205 14.2364876, 120.9732078 14.236746, 120.9738229 14.2368185, 120.9738299 14.2365828))"
,,industrial,"POLYGON ((120.9733481 14.2367126, 120.9733529 14.236575, 120.9732697 14.2365724, 120.9732649 14.23671, 120.9733481 14.2367126))"
,,industrial,"POLYGON ((120.981984 14.2385555, 120.9819835 14.2384959, 120.9819035 14.2384965, 120.9819039 14.2385561, 120.981984 14.2385555))"
,,industrial,"POLYGON ((120.9819921 14.2385802, 120.9822635 14.2385802, 120.9822668 14.2385179, 120.9823311 14.2385179, 120.9823311 14.2384846, 120.981991 14.2384867, 120.9819921 14.2385802))"
,,industrial,"POLYGON ((120.9823359 14.2385737, 120.9824515 14.238573, 120.9824511 14.2385216, 120.9823356 14.2385223, 120.9823359 14.2385737))"
16213335,industrial,,"POLYGON ((120.9763022 14.2396019, 120.9766777 14.2396357, 120.9766738 14.2392591, 120.9763339 14.2392515, 120.9763022 14.2396019))"
,industrial,,"POLYGON ((120.9837346 14.2422926, 120.9830776 14.2423585, 120.983287 14.243011, 120.9831504 14.2430479, 120.9831913 14.2432005, 120.9832044 14.2432493, 120.9833593 14.2432345, 120.983458 14.2436231, 120.9842294 14.2435587, 120.9841356 14.2430817, 120.9848772 14.2430102, 120.9850831 14.242916, 120.9850837 14.2429673, 120.9851493 14.2429584, 120.9854324 14.2429348, 120.9853274 14.2422175, 120.9852916 14.2419716, 120.983693 14.2421055, 120.9837346 14.2422926))"
,industrial,,"POLYGON ((120.9831129 14.2435946, 120.982955 14.2430558, 120.9825641 14.2431191, 120.9812531 14.2433313, 120.9811989 14.2438462, 120.9831239 14.2436321, 120.9831129 14.2435946))"
,industrial,,"POLYGON ((120.9880006 14.2183696, 120.987972 14.2190253, 120.9879416 14.219719, 120.9884191 14.2197502, 120.9884781 14.2184242, 120.9880006 14.2183696))"
,,industrial,"POLYGON ((120.993102 14.2340275, 120.9936055 14.2341366, 120.9936814 14.2338072, 120.993102 14.2340275))"
,,industrial,"POLYGON ((120.9933402 14.2348038, 120.9938025 14.2348703, 120.9938091 14.2347844, 120.9934059 14.2347269, 120.9934065 14.2346908, 120.9933449 14.2346859, 120.9933402 14.2348038))"
14770191,industrial,,"POLYGON ((120.9952481 14.2407835, 120.9952474 14.2408825, 120.995247 14.2409492, 120.9954027 14.240978, 120.9955137 14.2409985, 120.996686 14.2412144, 120.9967392 14.240818, 120.9967594 14.2406678, 120.9954633 14.2404389, 120.9952506 14.2404013, 120.9952481 14.2407835))"
,,industrial,"POLYGON ((120.9960367 14.2415865, 120.9961645 14.2416068, 120.9962018 14.2413869, 120.996074 14.2413665, 120.9960367 14.2415865))"
14770192,industrial,,"POLYGON ((120.9966226 14.2417688, 120.9966555 14.2414739, 120.9966642 14.2413905, 120.9959507 14.2412735, 120.9958864 14.2416297, 120.9966226 14.2417688))"
,,industrial,"POLYGON ((120.9874007 14.2495401, 120.9873829 14.2493172, 120.9871687 14.2493333, 120.9871865 14.2495561, 120.9874007 14.2495401))"
,,industrial,"POLYGON ((120.9825999 14.2435468, 120.9825823 14.2434098, 120.9824266 14.2434287, 120.9824442 14.2435657, 120.9825999 14.2435468))"
,,industrial,"POLYGON ((120.9824362 14.2435676, 120.9824234 14.243463, 120.982387 14.2434671, 120.9823997 14.2435718, 120.9824362 14.2435676))"
,,industrial,"POLYGON ((120.9820771 14.2434684, 120.9820927 14.2436233, 120.9822049 14.2436126, 120.9821891 14.2434578, 120.9820771 14.2434684))"
,,industrial,"POLYGON ((120.9826052 14.2436017, 120.9825983 14.243551, 120.9824829 14.2435657, 120.9824898 14.2436164, 120.9826052 14.2436017))"
,industrial,,"POLYGON ((120.9756088 14.2453136, 120.9756131 14.2451088, 120.9741475 14.2450213, 120.9741384 14.2452443, 120.9756088 14.2453136))"
,industrial,,"POLYGON ((120.9837386 14.2457256, 120.9846264 14.2456762, 120.9846586 14.2454032, 120.9836756 14.245463, 120.9837386 14.2457256))"
,,industrial,"POLYGON ((120.9856008 14.2484969, 120.9856053 14.2482865, 120.9853764 14.2482819, 120.9853719 14.2484923, 120.9856008 14.2484969))"
,,industrial,"POLYGON ((120.9851266 14.2482848, 120.984959 14.2484252, 120.9852071 14.2487036, 120.9853747 14.2485632, 120.9851266 14.2482848))"
,,industrial,"POLYGON ((120.9856008 14.2484969, 120.9855961 14.2487149, 120.9864431 14.2487319, 120.9864523 14.2483035, 120.9856053 14.2482865, 120.9856008 14.2484969))"
,industrial,,"POLYGON ((120.9861166 14.2487741, 120.9865657 14.2487809, 120.9865334 14.2482852, 120.9847813 14.2482636, 120.9852278 14.2487711, 120.9852749 14.2488246, 120.9861166 14.2487741))"
,industrial,,"POLYGON ((120.9871839 14.2496434, 120.9871517 14.2492404, 120.9856242 14.2490857, 120.9857905 14.2495017, 120.9858153 14.2495042, 120.9871839 14.2496434))"
,industrial,,"POLYGON ((120.9859508 14.2498292, 120.9871946 14.2499098, 120.9871839 14.2496434, 120.9858153 14.2495042, 120.9859508 14.2498292))"
,,industrial,"POLYGON ((120.9870142 14.2498821, 120.987026 14.2496758, 120.9861937 14.2496309, 120.9861818 14.2498373, 120.9870142 14.2498821))"
,,industrial,"POLYGON ((120.9852537 14.2498853, 120.9856633 14.2499005, 120.9856682 14.2497745, 120.9852603 14.2497593, 120.9852537 14.2498853))"
,,industrial,"POLYGON ((120.9852537 14.2498853, 120.9852603 14.2497593, 120.9850612 14.2497495, 120.9850493 14.2500478, 120.9852417 14.2500568, 120.9852537 14.2498853))"
,,industrial,"POLYGON ((120.9859215 14.2499755, 120.9859735 14.2499788, 120.9859735 14.2499074, 120.9861445 14.2499127, 120.98615 14.249853, 120.9859722 14.2498399, 120.985883 14.2498354, 120.9859215 14.2499755))"
,industrial,,"POLYGON ((120.9858173 14.2502413, 120.9856778 14.2497473, 120.9850408 14.2497227, 120.985025 14.2502395, 120.9858173 14.2502413))"
,,industrial,"POLYGON ((120.9850493 14.2500478, 120.9850428 14.2501801, 120.9851309 14.2501842, 120.9851332 14.2501396, 120.9852373 14.2501445, 120.9852417 14.2500568, 120.9850493 14.2500478))"
,,industrial,"POLYGON ((120.9781529 14.2507314, 120.9781703 14.2504676, 120.9761533 14.2503584, 120.9761385 14.2506106, 120.9781529 14.2507314))"
,,industrial,"POLYGON ((120.9771226 14.2508481, 120.9771321 14.2506806, 120.976963 14.2506717, 120.9769535 14.2508392, 120.9771226 14.2508481))"
,,industrial,"POLYGON ((120.9769303 14.2509889, 120.9769495 14.2506684, 120.9761365 14.2506228, 120.9761277 14.2507707, 120.9759176 14.2507589, 120.9759073 14.2509315, 120.9769303 14.2509889))"
,,industrial,"POLYGON ((120.9776039 14.2513419, 120.9776275 14.250705, 120.9773288 14.2506946, 120.9773052 14.2513315, 120.9776039 14.2513419))"
,,industrial,"POLYGON ((120.9787007 14.251369, 120.9787316 14.2509368, 120.9782337 14.2509035, 120.9782029 14.2513357, 120.9787007 14.251369))"
,,industrial,"POLYGON ((120.9772136 14.2512794, 120.9772225 14.2510527, 120.9771163 14.2510488, 120.9771075 14.2512755, 120.9772136 14.2512794))"
,industrial,,"POLYGON ((120.9863566 14.2515998, 120.9867399 14.2514957, 120.9867958 14.2516676, 120.9875165 14.2514696, 120.987267 14.250821, 120.9861526 14.2508756, 120.9863566 14.2515998))"
,,industrial,"POLYGON ((120.9871924 14.2515485, 120.9869737 14.2508453, 120.9865862 14.2508596, 120.9868021 14.2516486, 120.9871924 14.2515485))"
9145841,industrial,,"POLYGON ((120.9756932 14.2516373, 120.9755974 14.251634, 120.9755859 14.2520058, 120.9756625 14.2520104, 120.9756638 14.2520338, 120.9768507 14.252113, 120.9785846 14.2521989, 120.9788543 14.2520169, 120.9789775 14.2517147, 120.9788703 14.2507015, 120.9781783 14.2504441, 120.9765638 14.2503561, 120.9759373 14.2503219, 120.9756932 14.2516373))"
,,industrial,"POLYGON ((120.9758616 14.2516871, 120.9759041 14.2509203, 120.9758402 14.2509169, 120.9757156 14.2516798, 120.9758616 14.2516871))"
,,industrial,"POLYGON ((120.9787086 14.2513682, 120.9788206 14.251373, 120.9788235 14.2513103, 120.9787115 14.2513054, 120.9787086 14.2513682))"
,,industrial,"POLYGON ((120.9783894 14.251735, 120.9783966 14.2516207, 120.9785836 14.2516318, 120.9785925 14.2514912, 120.9758999 14.2513315, 120.9758838 14.2515864, 120.9783894 14.251735))"
,,industrial,"POLYGON ((120.9864766 14.251636, 120.9865003 14.2517109, 120.9864085 14.251739, 120.9864176 14.2517671, 120.986791 14.2516698, 120.9867358 14.251504, 120.9863817 14.2516051, 120.9863989 14.2516602, 120.9864766 14.251636))"
,,industrial,"POLYGON ((120.9788413 14.2519914, 120.9788788 14.2513883, 120.9786344 14.251374, 120.9785968 14.2519771, 120.9788413 14.2519914))"
,,industrial,"POLYGON ((120.9783473 14.2519863, 120.9783627 14.2517427, 120.9760834 14.2516072, 120.976068 14.2518508, 120.9783473 14.2519863))"
,,industrial,"POLYGON ((120.9785664 14.2519753, 120.9785798 14.2517166, 120.9785298 14.2517149, 120.9785345 14.2516489, 120.9784554 14.2516437, 120.9784507 14.251712, 120.9784048 14.2517081, 120.9783914 14.2519667, 120.9785664 14.2519753))"
,,industrial,"POLYGON ((120.9865888 14.2517301, 120.986534 14.2517442, 120.9865373 14.2517577, 120.9864209 14.2517858, 120.9864547 14.251908, 120.9866204 14.2518664, 120.9865888 14.2517301))"
,,industrial,"POLYGON ((120.9789177 14.2518796, 120.9789199 14.2518187, 120.9788539 14.2518164, 120.9788517 14.2518774, 120.9789177 14.2518796))"
,,industrial,"POLYGON ((120.975926 14.2520286, 120.9759329 14.2519227, 120.9757464 14.2519113, 120.9757395 14.2520172, 120.975926 14.2520286))"
,,industrial,"POLYGON ((120.976893 14.2520332, 120.9768974 14.2519631, 120.9767806 14.2519562, 120.9767776 14.2520037, 120.9767761 14.2520263, 120.976893 14.2520332))"
,,industrial,"POLYGON ((120.9787301 14.2520561, 120.9787327 14.2519914, 120.9785946 14.2519861, 120.9785919 14.2520507, 120.9787301 14.2520561))"
,,industrial,"POLYGON ((120.9765856 14.2520805, 120.9765898 14.2520076, 120.9763256 14.2519933, 120.9763214 14.2520662, 120.9765856 14.2520805))"
,,industrial,"POLYGON ((120.9986482 14.2513856, 120.9992042 14.2513643, 120.9999238 14.2512254, 120.9999184 14.25089, 120.9980463 14.2509374, 120.9980008 14.2514105, 120.9986482 14.2513856))"
,,industrial,"POLYGON ((121.004785 14.2525513, 121.0046941 14.2522684, 121.0035943 14.2526005, 121.0036276 14.2527042, 121.0036852 14.2528834, 121.004785 14.2525513))"
,industrial,,"POLYGON ((121.004817 14.2525611, 121.0046987 14.2522374, 121.0031632 14.2526928, 121.0032597 14.2530099, 121.004817 14.2525611))"
,industrial,,"POLYGON ((121.0024631 14.2553522, 121.003772 14.2553106, 121.0033804 14.2541356, 121.0020715 14.254172, 121.0024631 14.2553522))"
,,industrial,"POLYGON ((121.0076496 14.2554596, 121.0083242 14.255418, 121.0083157 14.2552892, 121.0076411 14.2553308, 121.0076496 14.2554596))"
,,industrial,"POLYGON ((121.0078057 14.2557452, 121.008212 14.2557192, 121.0081964 14.2554893, 121.00779 14.2555153, 121.0078057 14.2557452))"
,,industrial,"POLYGON ((121.0074367 14.257631, 121.0058092 14.2581419, 121.0059687 14.2586319, 121.0075719 14.2581314, 121.0074367 14.257631))"
,,industrial,"POLYGON ((121.0076908 14.2589463, 121.0074881 14.2582441, 121.0059849 14.2587315, 121.0062147 14.2594258, 121.0076908 14.2589463))"
,,industrial,"POLYGON ((121.007999 14.2594363, 121.0078774 14.2589909, 121.006239 14.2595123, 121.0063823 14.2599158, 121.007999 14.2594363))"
,,industrial,"POLYGON ((121.0081217 14.25943, 121.0078388 14.2595046, 121.0078575 14.2595714, 121.0078912 14.2595625, 121.00791 14.2596295, 121.0081592 14.2595638, 121.0081217 14.25943))"
,industrial,,"POLYGON ((120.9562811 14.1393718, 120.9563025 14.1388386, 120.9555183 14.1388114, 120.9555041 14.1393417, 120.9562811 14.1393718))"
,industrial,,"POLYGON ((120.9562349 14.1448776, 120.9585499 14.1446794, 120.9586638 14.1443512, 120.9561241 14.1437983, 120.9562349 14.1448776))"
,industrial,,"POLYGON ((120.9633844 14.1692635, 120.9634376 14.1696928, 120.9643116 14.1696053, 120.9641201 14.1690623, 120.9633844 14.1692635))"
,,industrial,"POLYGON ((120.9694292 14.206407, 120.969351 14.2058764, 120.9690722 14.205915, 120.9691504 14.2064456, 120.9694292 14.206407))"
,,industrial,"POLYGON ((120.970377 14.2062907, 120.9703244 14.2059497, 120.9696262 14.2060508, 120.9696788 14.2063918, 120.970377 14.2062907))"
,,industrial,"POLYGON ((120.9690546 14.2064566, 120.9689852 14.2060184, 120.9688622 14.2060367, 120.9688439 14.2059214, 120.9676873 14.2060934, 120.9677749 14.2066469, 120.9690546 14.2064566))"
,industrial,,"POLYGON ((120.9684165 14.2234448, 120.9681701 14.2234157, 120.9681234 14.2238504, 120.9685714 14.223892, 120.9684165 14.2234448))"
,industrial,,"POLYGON ((120.9692191 14.2257517, 120.9691769 14.2256314, 120.9685761 14.2254728, 120.9685895 14.2256457, 120.9690428 14.2256912, 120.9690508 14.2257432, 120.9692191 14.2257517))"
,,industrial,"POLYGON ((120.9732193 14.2362618, 120.9732234 14.2360551, 120.9731402 14.2360536, 120.9731362 14.2362602, 120.9732193 14.2362618))"
,industrial,,"POLYGON ((120.9715365 14.23724, 120.9717035 14.2364704, 120.9714112 14.2363872, 120.9712368 14.2371907, 120.9713508 14.2372094, 120.9712918 14.2377755, 120.9722326 14.237884, 120.9722625 14.2377106, 120.9723054 14.2373664, 120.9715365 14.23724))"
,industrial,,"POLYGON ((120.9407767 14.0959744, 120.9407551 14.0964773, 120.9411554 14.0965822, 120.9413993 14.0956395, 120.9412029 14.0955823, 120.9407712 14.095483, 120.9407767 14.0959744))"
16849954,industrial,,"POLYGON ((120.9406744 14.1387136, 120.9416346 14.1389009, 120.9417084 14.1385316, 120.9413061 14.1384158, 120.9412122 14.1384106, 120.9410848 14.1384158, 120.9409413 14.1384106, 120.9407347 14.1383794, 120.9406744 14.1387136))"
,industrial,,"POLYGON ((120.9473925 14.2294442, 120.9473571 14.228338, 120.9461178 14.2281452, 120.9457637 14.2289188, 120.9473925 14.2294442))"
,,industrial,"POLYGON ((120.9429751 14.2682053, 120.9422132 14.2678974, 120.9420032 14.2683856, 120.942765 14.2686935, 120.9429751 14.2682053))"
,,industrial,"POLYGON ((120.9411338 14.2694217, 120.9411509 14.2693827, 120.9413378 14.2694599, 120.9413663 14.2693949, 120.941555 14.2694729, 120.9415955 14.2693809, 120.9417884 14.2694606, 120.9418281 14.2693703, 120.9420191 14.2694493, 120.9420549 14.2693679, 120.9422411 14.2694448, 120.9422786 14.2693595, 120.9424694 14.2694384, 120.9424984 14.2693725, 120.9426815 14.2694482, 120.9428488 14.2690678, 120.9411398 14.2683616, 120.9407443 14.2692607, 120.9411338 14.2694217))"
